X,Y,E
222.111,6.37407,0.0873085
223.222,6.00008,0.0847387
224.338,5.86868,0.0838288
225.46,5.71128,0.0827019
226.587,5.52825,0.0813366
227.72,5.3232,0.0797557
228.859,5.45022,0.08072
230.003,5.23785,0.0791399
231.153,5.30009,0.0795796
232.309,5.37313,0.0801234
233.47,5.28104,0.0794147
234.638,5.24515,0.0791322
235.811,5.19545,0.0787937
236.99,5.03301,0.0775016
238.175,5.13835,0.0782815
239.366,4.99705,0.0772017
240.562,4.89107,0.0763404
241.765,4.80149,0.0756742
242.974,4.86029,0.0761768
244.189,4.62072,0.0742478
245.41,4.48381,0.0731575
246.637,4.47016,0.073094
247.87,4.41917,0.0726753
249.109,4.39076,0.0724639
250.355,4.38776,0.072405
251.607,4.39419,0.0724343
252.865,4.44264,0.0728659
254.129,4.52457,0.073521
255.4,4.49157,0.0732523
256.677,4.76637,0.0754899
257.96,4.72008,0.0751196
259.25,4.76398,0.0754525
260.546,4.91567,0.0766246
261.849,4.82829,0.0759659
263.158,4.83037,0.0759687
264.474,4.82341,0.0759475
265.796,4.91892,0.0767167
267.125,5.13682,0.0784079
268.461,5.33154,0.0799061
269.803,5.36537,0.0801771
271.152,5.60838,0.0819258
272.508,5.82955,0.0835866
273.871,5.9862,0.0847539
275.24,6.13532,0.0858214
276.616,6.39768,0.0876381
277.999,6.52467,0.0885467
279.389,6.64708,0.089446
280.786,6.68618,0.0898147
282.19,6.79318,0.0905132
283.601,6.98305,0.0918858
285.019,7.47546,0.0951354
286.444,8.55876,0.10182
287.876,10.576,0.113237
289.316,14.6999,0.133554
290.762,23.5901,0.169312
292.216,35.9696,0.209346
293.677,43.5684,0.230701
295.146,37.5574,0.214354
296.621,22.5241,0.166133
298.104,10.3607,0.112655
299.595,6.50735,0.0893259
301.093,5.46805,0.081897
302.598,4.85941,0.0773119
304.111,4.50417,0.0744523
305.632,4.4369,0.0739962
307.16,4.38465,0.0736005
308.696,4.36609,0.0735221
310.239,4.36272,0.0735449
311.791,4.33265,0.0733924
313.35,4.29952,0.0731866
314.916,4.31442,0.0733875
316.491,4.31876,0.0735311
318.073,4.35458,0.073923
